Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-01-03,HFCK,HF Group Ltd,3.02,4.9,3.45,3.7,3.56,3.45,0.11,3.19,8600.0,
2024-01-03,IMH,I & M Holdings Plc,17.0,35.0,17.45,18.0,17.5,17.45,0.05,0.29,71200.0,
2024-01-03,KCB,KCB Group Plc,15.75,40.0,21.95,23.1,22.8,21.95,0.85,3.87,172600.0,
2024-01-03,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-01-03,NCBA,NCBA Group Plc,34.05,47.0,36.5,38.95,38.05,38.85,-0.8,2.06,11300.0,
2024-01-03,SBIC,Stanbic Holdings Plc,100.0,134.0,105.5,109.0,106.5,106.0,0.5,0.47,400.0,
2024-01-03,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,162.0,165.0,164.5,160.25,4.25,2.65,16700.0,
2024-01-03,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-01-03,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.27,1.24,1.18,0.06,5.08,2000.0,
2024-01-03,XPRS,Express Kenya Plc,2.74,3.99,3.7,3.7,3.7,3.7,,,,
2024-01-03,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-01-03,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-01-03,LKL,Longhorn Publishers Plc,2.02,2.65,2.41,2.41,2.41,2.41,,,,
2024-01-03,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.46,2.46,2.46,2.46,,,,
2024-01-03,NMG,Nation Media Group Plc,14.0,22.4,20.5,22.4,20.55,20.4,0.15,0.74,15600.0,
2024-01-03,SMER,Sameer Africa Plc,1.87,2.75,2.27,2.27,2.27,2.27,,,,
2024-01-03,SGL,Standard Group Plc,4.86,9.0,7.74,7.74,7.74,7.74,,,,
2024-01-03,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,16.45,16.45,16.45,16.25,0.2,1.23,2000.0,
2024-01-03,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.19,0.19,0.19,0.18,0.01,5.56,1300.0,
2024-01-03,SCAN,WPP ScanGroup Plc,1.86,2.94,1.98,2.1,2.09,2.18,-0.09,4.13,34800.0,
2024-01-03,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-01-03,BAMB,Bamburi Cement Ltd,22.5,84.0,35.9,37.0,36.0,36.0,,,14000.0,
2024-01-03,CRWN,Crown Paints Kenya Plc,29.0,40.05,35.0,35.0,35.0,35.65,-0.65,1.82,300.0,
2024-01-03,CABL,East African Cables Plc,0.79,1.11,0.98,1.0,1.0,0.98,0.02,2.04,2100.0,
2024-01-03,PORT,East African Portland Cement Ltd,4.38,55.75,8.0,8.0,8.0,8.0,,,1400.0,
2024-01-03,KEGN,Kenya Electricity Generating Company Plc,1.94,4.6,1.99,2.02,2.0,2.0,,,582200.0,
2024-01-03,KPLC-P4,KPLC-P4,4.0,4.11,4.11,4.11,4.11,4.11,,,,
2024-01-03,KPLC-P7,KPLC-P7,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-01-03,KPLC,Kenya Power and Lighting Company Plc,1.3,6.0,1.42,1.45,1.45,1.4,0.05,3.57,76300.0,
2024-01-03,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.0,17.0,18.0,18.0,18.0,,,5300.0,
2024-01-03,UMME,Umeme Ltd,13.0,17.9,14.2,15.55,14.4,15.55,-1.15,7.4,3300.0,
2024-01-03,BRIT,Britam Holdings Plc,4.25,6.5,4.65,5.1,4.71,5.14,-0.43,8.37,24600.0,
2024-01-03,CIC,CIC Insurance Group Ltd,1.93,2.5,2.15,2.29,2.28,2.29,-0.01,0.44,8900.0,
2024-01-03,JUB,Jubilee Holdings Ltd,150.0,202.0,185.0,185.0,185.0,185.0,,,,
2024-01-03,KNRE,Kenya Re-Insurance Corporation Ltd,1.0,3.0,1.8,1.9,1.89,1.85,0.04,2.16,24700.0,
2024-01-03,LBTY,Liberty Kenya Holdings Ltd,3.5,8.24,3.86,3.86,3.86,3.86,,,,
2024-01-03,SLAM,Sanlam Kenya Plc,5.5,7.7,6.0,6.0,6.0,6.0,,,100.0,
2024-01-03,CTUM,Centum Investment Company Plc,7.62,10.4,8.26,9.0,8.36,8.4,-0.04,0.48,49700.0,
2024-01-03,HAFR,Home Afrika Ltd,0.27,0.42,0.39,0.42,0.4,0.39,0.01,2.56,133300.0,
2024-01-03,KURV,Kurwitu Ventures Ltd,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
2024-01-03,OCH,Olympia Capital Holdings Ltd,2.58,4.0,3.4,3.55,3.5,3.27,0.23,7.03,1300.0,
2024-01-03,TCL,Trans-Century Plc,0.29,0.72,0.47,0.52,0.47,0.52,-0.05,9.62,154800.0,
2024-01-03,NSE,Nairobi Securities Exchange Plc,5.22,6.8,6.02,6.1,6.08,5.8,0.28,4.83,3600.0,
2024-01-03,BOC,BOC Kenya Plc,67.0,96.0,82.0,82.0,82.0,82.0,,,,
2024-01-03,BAT,British American Tobacco Kenya Plc,325.0,455.0,425.0,425.0,425.0,425.0,,,,
2024-01-03,CARB,Carbacid Investments Plc,14.05,24.5,14.85,15.1,15.0,15.0,,,7100.0,
2024-01-03,EABL,East African Breweries Ltd,99.0,204.0,120.0,125.0,120.5,116.25,4.25,3.66,2600.0,
2024-01-03,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.13,1.14,1.13,1.14,-0.01,0.88,1400.0,
2024-01-03,ORCH,Kenya Orchards Ltd,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-01-03,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-01-03,UNGA,Unga Group Ltd,11.05,18.45,16.85,16.85,16.85,16.85,,,,
2024-01-03,SCOM,Safaricom Plc,12.15,21.15,13.6,13.9,13.65,13.75,-0.1,0.73,1666700.0,
2024-01-03,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-01-03,GLD,ABSA NewGold ETF,2625.0,3330.0,2915.0,2915.0,2915.0,2915.0,,,,
2024-01-03,^N10I,NSE 10-Share Index,874.34,1243.88,922.0,922.0,922.0,911.24,10.76,1.18,,
2024-01-03,^N20I,NSE 20-Share Index,1416.32,1942.74,1509.36,1509.36,1509.36,1508.83,0.53,0.04,,
2024-01-03,^N25I,NSE 25-Share Index,2281.58,3205.82,2410.69,2410.69,2410.69,2387.3,23.39,0.98,,
2024-01-03,^NASI,NSE All-Share Index,86.41,119.33,92.11,92.11,92.11,91.97,0.14,0.15,,
2024-01-03,^ZKEQTK,Zamara Kenya Equity Index (KES),1497.8,2397.65,1610.32,1610.32,1610.32,1577.9,32.42,2.05,,
2024-01-03,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,880.31,880.31,880.31,863.41,16.9,1.96,,
2024-01-04,EGAD,Eaagads Ltd,10.35,14.5,13.95,13.95,13.95,12.8,1.15,8.98,100.0,
2024-01-04,KUKZ,Kakuzi Plc,342.0,440.0,385.0,385.0,385.0,385.0,,,200.0,
2024-01-04,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,225.0,225.0,225.0,215.0,10.0,4.65,500.0,
2024-01-04,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-01-04,SASN,Sasini Plc,15.1,22.0,19.75,19.75,19.75,19.8,-0.05,0.25,1000.0,
2024-01-04,WTK,Williamson Tea Kenya Plc,193.5,290.0,225.0,239.0,237.0,228.0,9.0,3.95,700.0,
