Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-02-08,SCOM,Safaricom Plc,12.15,21.15,13.00,13.40,13.20,13.15,0.05,0.38%,"1,845,800.00",-,12.15,21.15,13.0,13.4,13.2,13.15,0.05,0.38,1845800.0,
2024-02-08,LAPR,Laptrust Imara Income-REIT,20.00,20.00,20.00,20.00,20.00,20.00,-,-,-,-,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-02-08,GLD,ABSA NewGold ETF,"2,625.00","3,330.00","3,065.00","3,065.00","3,065.00","2,990.00",75,2.51%,400.00,-,2625.0,3330.0,3065.0,3065.0,3065.0,2990.0,75.0,2.51,400.0,
2024-02-08,^N10I,NSE 10-Share Index,874.34,"1,243.88",925.48,925.48,925.48,928.08,-2.6,0.28%,-,-,874.34,1243.88,925.48,925.48,925.48,928.08,-2.6,0.28,,
2024-02-08,^N20I,NSE 20-Share Index,"1,416.32","1,942.74","1,526.48","1,526.48","1,526.48","1,523.02",3.46,0.23%,-,-,1416.32,1942.74,1526.48,1526.48,1526.48,1523.02,3.46,0.23,,
2024-02-08,^N25I,NSE 25-Share Index,"2,281.58","3,205.82","2,431.81","2,431.81","2,431.81","2,430.50",1.31,0.05%,-,-,2281.58,3205.82,2431.81,2431.81,2431.81,2430.5,1.31,0.05,,
2024-02-08,^NASI,NSE All-Share Index,86.41,119.33,91.96,91.96,91.96,91.89,0.07,0.08%,-,-,86.41,119.33,91.96,91.96,91.96,91.89,0.07,0.08,,
2024-02-08,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,497.80","2,397.65","1,585.31","1,585.31","1,585.31","1,591.11",-5.8,0.36%,-,-,1497.8,2397.65,1585.31,1585.31,1585.31,1591.11,-5.8,0.36,,
2024-02-08,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,"1,599.72",850.44,850.44,850.44,853.55,-3.11,0.36%,-,-,818.46,1599.72,850.44,850.44,850.44,853.55,-3.11,0.36,,
2024-02-09,EGAD,Eaagads Ltd,10.35,14.50,12.50,12.50,12.50,12.50,-,-,-,-,10.35,14.5,12.5,12.5,12.5,12.5,,,,
2024-02-09,KUKZ,Kakuzi Plc,342.00,440.00,385.00,385.00,385.00,385.00,-,-,300.00,-,342.0,440.0,385.0,385.0,385.0,385.0,,,300.0,
2024-02-09,KAPC,Kapchorua Tea Kenya Plc,207.00,280.00,233.00,233.00,233.00,233.00,-,-,-,-,207.0,280.0,233.0,233.0,233.0,233.0,,,,
2024-02-09,LIMT,Limuru Tea Plc,365.00,380.00,380.00,380.00,380.00,380.00,-,-,-,-,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-02-09,SASN,Sasini Plc,15.10,22.00,19.90,20.00,20.00,22.00,-2,9.09%,"1,100.00",-,15.1,22.0,19.9,20.0,20.0,22.0,-2.0,9.09,1100.0,
2024-02-09,WTK,Williamson Tea Kenya Plc,193.50,290.00,232.50,232.50,232.50,232.50,-,-,-,-,193.5,290.0,232.5,232.5,232.5,232.5,,,,
2024-02-09,CGEN,Car and General (K) Ltd,17.95,31.80,27.00,27.00,27.00,27.00,-,-,-,-,17.95,31.8,27.0,27.0,27.0,27.0,,,,
